110
116
0	1	5556	10
0	2	7778	10
0	3	14445	10
1	2	3334	10
2	4	3334	10
1	5	5556	10
4	5	1112	10
3	5	3334	10
3	4	5556	10
5	6	4445	10
3	6	10000	10
3	7	14445	10
7	8	1112	10
6	8	8889	10
8	9	2223	10
7	9	7778	10
0	10	10000	1
0	20	10000	1
0	30	10000	1
0	40	10000	1
0	50	10000	1
0	60	10000	1
0	70	10000	1
0	80	10000	1
0	90	10000	1
0	100	10000	1
1	11	10000	1
1	21	10000	1
1	31	10000	1
1	41	10000	1
1	51	10000	1
1	61	10000	1
1	71	10000	1
1	81	10000	1
1	91	10000	1
1	101	10000	1
2	12	10000	1
2	22	10000	1
2	32	10000	1
2	42	10000	1
2	52	10000	1
2	62	10000	1
2	72	10000	1
2	82	10000	1
2	92	10000	1
2	102	10000	1
3	13	10000	1
3	23	10000	1
3	33	10000	1
3	43	10000	1
3	53	10000	1
3	63	10000	1
3	73	10000	1
3	83	10000	1
3	93	10000	1
3	103	10000	1
4	14	10000	1
4	24	10000	1
4	34	10000	1
4	44	10000	1
4	54	10000	1
4	64	10000	1
4	74	10000	1
4	84	10000	1
4	94	10000	1
4	104	10000	1
5	15	10000	1
5	25	10000	1
5	35	10000	1
5	45	10000	1
5	55	10000	1
5	65	10000	1
5	75	10000	1
5	85	10000	1
5	95	10000	1
5	105	10000	1
6	16	10000	1
6	26	10000	1
6	36	10000	1
6	46	10000	1
6	56	10000	1
6	66	10000	1
6	76	10000	1
6	86	10000	1
6	96	10000	1
6	106	10000	1
7	17	10000	1
7	27	10000	1
7	37	10000	1
7	47	10000	1
7	57	10000	1
7	67	10000	1
7	77	10000	1
7	87	10000	1
7	97	10000	1
7	107	10000	1
8	18	10000	1
8	28	10000	1
8	38	10000	1
8	48	10000	1
8	58	10000	1
8	68	10000	1
8	78	10000	1
8	88	10000	1
8	98	10000	1
8	108	10000	1
9	19	10000	1
9	29	10000	1
9	39	10000	1
9	49	10000	1
9	59	10000	1
9	69	10000	1
9	79	10000	1
9	89	10000	1
9	99	10000	1
9	109	10000	1
