100
10	16	1
11	26	1
12	36	1
13	46	1
14	56	1
15	66	1
16	76	1
17	86	1
18	96	1
19	106	1
20	17	1
21	27	1
22	37	1
23	47	1
24	57	1
25	67	1
26	77	1
27	87	1
28	97	1
29	107	1
30	18	1
31	28	1
32	38	1
33	48	1
34	58	1
35	68	1
36	78	1
37	88	1
38	98	1
39	108	1
40	19	1
41	29	1
42	39	1
43	49	1
44	59	1
45	69	1
46	79	1
47	89	1
48	99	1
49	109	1
50	20	1
51	30	1
52	40	1
53	50	1
54	60	1
55	70	1
56	80	1
57	90	1
58	100	1
59	110	1
60	21	1
61	31	1
62	41	1
63	51	1
64	61	1
65	71	1
66	81	1
67	91	1
68	101	1
69	111	1
70	22	1
71	32	1
72	42	1
73	52	1
74	62	1
75	72	1
76	82	1
77	92	1
78	102	1
79	112	1
80	23	1
81	33	1
82	43	1
83	53	1
84	63	1
85	73	1
86	83	1
87	93	1
88	103	1
89	113	1
90	24	1
91	34	1
92	44	1
93	54	1
94	64	1
95	74	1
96	84	1
97	94	1
98	104	1
99	114	1
100	25	1
101	35	1
102	45	1
103	55	1
104	65	1
105	75	1
106	85	1
107	95	1
108	105	1
109	115	1
