100
110	116	1
111	126	1
112	136	1
113	146	1
114	156	1
115	166	1
116	176	1
117	186	1
118	196	1
119	206	1
120	117	1
121	127	1
122	137	1
123	147	1
124	157	1
125	167	1
126	177	1
127	187	1
128	197	1
129	207	1
130	118	1
131	128	1
132	138	1
133	148	1
134	158	1
135	168	1
136	178	1
137	188	1
138	198	1
139	208	1
140	119	1
141	129	1
142	139	1
143	149	1
144	159	1
145	169	1
146	179	1
147	189	1
148	199	1
149	209	1
150	120	1
151	130	1
152	140	1
153	150	1
154	160	1
155	170	1
156	180	1
157	190	1
158	200	1
159	210	1
160	121	1
161	131	1
162	141	1
163	151	1
164	161	1
165	171	1
166	181	1
167	191	1
168	201	1
169	211	1
170	122	1
171	132	1
172	142	1
173	152	1
174	162	1
175	172	1
176	182	1
177	192	1
178	202	1
179	212	1
180	123	1
181	133	1
182	143	1
183	153	1
184	163	1
185	173	1
186	183	1
187	193	1
188	203	1
189	213	1
190	124	1
191	134	1
192	144	1
193	154	1
194	164	1
195	174	1
196	184	1
197	194	1
198	204	1
199	214	1
200	125	1
201	135	1
202	145	1
203	155	1
204	165	1
205	175	1
206	185	1
207	195	1
208	205	1
209	215	1
